phone,poa,moa,voicing
🛇,0,5,0
🛇,0,5,1
🛇,0,7,0
🛇,0,7,1
🛇,1,5,0
🛇,1,5,1
🛇,1,7,0
🛇,1,7,1
🛇,7,2,0
🛇,7,2,1
🛇,7,3,0
🛇,7,3,1
🛇,9,0,1
🛇,9,1,0
🛇,9,1,1
🛇,9,5,0
🛇,9,5,1
🛇,9,7,0
🛇,9,7,1
🛇,10,0,1
🛇,10,1,0
🛇,10,1,1
🛇,10,2,0
🛇,10,2,1
🛇,10,3,0
🛇,10,3,1
🛇,10,5,0
🛇,10,5,1
🛇,10,6,0
🛇,10,6,1
🛇,10,7,0
🛇,10,7,1
