phone,poa,moa,voicing
p,0,0,0
b,0,0,1
t,3,0,0
d,3,0,1
ʈ,5,0,0
ɖ,5,0,1
c,6,0,0
ɟ,6,0,1
k,7,0,0
g,7,0,1
q,8,0,0
ɢ,8,0,1
ʔ,10,0,0
m,0,1,1
ɱ,1,1,1
n,3,1,1
ɳ,5,1,1
ɲ,6,1,1
ŋ,7,1,1
ɴ,8,1,1
ʙ,0,2,1
r,3,2,1
ʀ,8,2,1
ⱱ,1,3,1
ɾ,3,3,1
ɽ,5,3,1
ɸ,0,4,0
β,0,4,1
f,1,4,0
v,1,4,1
θ,2,4,0
ð,2,4,1
s,3,4,0
z,3,4,1
ʃ,4,4,0
ʒ,4,4,1
ʂ,5,4,0
ʐ,5,4,1
ç,6,4,0
ʝ,6,4,1
x,7,4,0
ɣ,7,4,1
χ,8,4,0
ʁ,8,4,1
ħ,9,4,0
ʕ,9,4,1
h,10,4,0
ɦ,10,4,1
ɬ,3,5,0
ɮ,3,5,1
ʋ,1,6,1
ɹ,3,6,1
ɻ,5,6,1
j,6,6,1
ɰ,7,6,1
l,3,7,1
ɭ,5,7,1
ʎ,6,7,1
ʟ,7,7,1
