phone,back,height,rounding
i,0,0,0
ɪ,1,1,0
ɛ,0,4,0
eɪ,0,2,0
æ,0,5,0
ɑ,0,6,0
aʊ,0,6,1
aɪ,0,6,0
ʌ,4,4,0
ɔ,4,4,1
ɔɪ,1,1,0
oʊ,3,1,1
ʊ,3,1,1
u,4,0,1
ʉ,2,0,1
ɝ,1,1,0
ə,2,3,0
ɨ,2,0,0
ɚ,1,1,0
ə̥,2,3,0
