phone,back,height,rounding
i,0,0,0
y,0,0,1
ɨ,2,0,0
ʉ,2,0,1
ɯ,4,0,0
u,4,0,1
ɪ,1,1,0
ʏ,1,1,1
ʊ,3,1,1
e,0,2,0
ø,0,2,1
ɘ,2,2,0
ɵ,2,2,1
ɤ,4,2,0
o,4,2,1
ə,2,3,0.5
ɛ,0,4,0
œ,0,4,1
ɜ,2,4,0
ɞ,2,4,1
ʌ,4,4,0
ɔ,4,4,1
æ,0,5,0
ɐ,2,5,0.5
a,0,6,0
ɶ,0,6,1
ɑ,4,6,0
ɒ,4,6,1
